pathway	NES	padj
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.0	1
HALLMARK_INTERFERON_GAMMA_RESPONSE	1.88801	0.00147226165
HALLMARK_INFLAMMATORY_RESPONSE	2.78847	6.56591113e-05
HALLMARK_TNFA_SIGNALING_VIA_NFKB	2.23038	0.000451263284
HALLMARK_APOPTOSIS	0.50567	0.174379328
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-1.48354	0.00595237111
HALLMARK_GLYCOLYSIS	-2.69677	9.01249424e-05
HALLMARK_MYC_TARGETS_V1	-2.49941	0.000178190686
HALLMARK_E2F_TARGETS	-0.99471	0.0322058674
HALLMARK_G2M_CHECKPOINT	1.03029	0.0284816405
HALLMARK_HYPOXIA	2.51638	0.000168046704
HALLMARK_P53_PATHWAY	2.68625	9.34598329e-05
