pathway	NES	padj
HALLMARK_INTERFERON_ALPHA_RESPONSE	2.29374	4.38423677e-05
HALLMARK_INTERFERON_GAMMA_RESPONSE	2.77666	5.30085592e-06
HALLMARK_INFLAMMATORY_RESPONSE	1.80722	0.000368368088
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.10751	0.624785584
HALLMARK_APOPTOSIS	-1.96601	0.000183899691
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-2.79616	4.86738837e-06
HALLMARK_GLYCOLYSIS	-2.16374	7.74272795e-05
HALLMARK_MYC_TARGETS_V1	-0.39955	0.174122542
HALLMARK_E2F_TARGETS	1.57363	0.00102353571
HALLMARK_G2M_CHECKPOINT	2.7237	6.68297752e-06
HALLMARK_HYPOXIA	2.44911	2.22172857e-05
HALLMARK_P53_PATHWAY	0.89348	0.0200626363
