pathway	NES	padj
HALLMARK_INTERFERON_ALPHA_RESPONSE	2.63101	8.88540034e-07
HALLMARK_INTERFERON_GAMMA_RESPONSE	1.29694	0.00104001116
HALLMARK_INFLAMMATORY_RESPONSE	-0.71552	0.022610179
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-2.35371	3.85893088e-06
HALLMARK_APOPTOSIS	-2.76076	4.46942856e-07
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-1.72376	0.00010848058
HALLMARK_GLYCOLYSIS	0.21487	0.320478574
HALLMARK_MYC_TARGETS_V1	2.04111	2.02044485e-05
HALLMARK_E2F_TARGETS	2.79973	3.63597593e-07
HALLMARK_G2M_CHECKPOINT	2.09391	1.52759068e-05
HALLMARK_HYPOXIA	0.29284	0.212064513
HALLMARK_P53_PATHWAY	-1.6614	0.000150931539
